date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Previous Week Shipment,Previous Year Shipment,Moving Average Shipment,Encoded_Lane,shipment_sqrt_transform,Predicted_shipment
2023-12-04,49,2023,12,DE02_29143519,5,0,4,0,2,0,1,2.23606797749979,4
2023-12-11,50,2023,12,DE02_29143519,1,0,4,5,1,0,1,1.0,1
2023-12-18,51,2023,12,DE02_29143519,1,0,4,1,2,0,1,1.0,1
2023-12-25,52,2023,12,DE02_29143519,1,1,4,1,3,0,1,1.0,1
2023-12-11,50,2023,12,DE02_29143656,3,0,4,0,2,0,1,1.7320508075688772,4
2023-12-18,51,2023,12,DE02_29143656,3,0,4,3,2,0,1,1.7320508075688772,4
2023-12-04,49,2023,12,DE02_29143656,2,0,4,3,2,0,1,1.4142135623730951,4
2023-12-25,52,2023,12,DE02_29143656,2,1,4,2,1,0,1,1.4142135623730951,1
2023-12-11,50,2023,12,DE02_29191028,1,0,4,0,1,1,1,1.0,1
2023-12-18,51,2023,12,DE02_29191028,1,0,4,1,1,0,1,1.0,1
2023-12-04,49,2023,12,DE02_29191028,0,0,4,1,1,1,1,0.0,1
2023-12-25,52,2023,12,DE02_29191028,0,1,4,0,1,2,1,0.0,0
2023-12-25,52,2023,12,DE02_29365141,4,1,4,0,2,0,2,2.0,4
2023-12-11,50,2023,12,DE02_29365141,1,0,4,4,2,0,2,1.0,1
2023-12-18,51,2023,12,DE02_29365141,1,0,4,1,1,1,2,1.0,1
2023-12-04,49,2023,12,DE02_29365141,0,0,4,1,3,1,2,0.0,0
2023-12-18,51,2023,12,DE02_29756574,2,0,4,0,1,0,2,1.4142135623730951,1
2023-12-04,49,2023,12,DE02_29756574,1,0,4,2,1,0,2,1.0,1
2023-12-11,50,2023,12,DE02_29756574,1,0,4,1,1,0,2,1.0,1
2023-12-25,52,2023,12,DE02_29756574,1,1,4,1,2,0,2,1.0,1
2023-12-04,49,2023,12,DE02_29785993,1,0,4,1,1,0,2,1.0,1
2023-12-18,51,2023,12,DE02_29785993,1,0,4,1,0,0,2,1.0,1
2023-12-25,52,2023,12,DE02_29785993,1,1,4,1,2,0,2,1.0,1
2023-12-11,50,2023,12,DE02_29785993,0,0,4,1,0,0,2,0.0,1
2023-12-18,51,2023,12,DE05_29145543,3,0,4,0,2,0,0,1.7320508075688772,1
2023-12-04,49,2023,12,DE05_29145543,2,0,4,3,2,0,0,1.4142135623730951,1
2023-12-25,52,2023,12,DE05_29145543,1,1,4,2,1,0,0,1.0,1
2023-12-11,50,2023,12,DE05_29145543,0,0,4,1,3,0,0,0.0,1
2023-12-25,52,2023,12,DE05_29237315,2,1,4,0,0,0,0,1.4142135623730951,1
2023-12-04,49,2023,12,DE05_29237315,1,0,4,2,0,0,0,1.0,1
2023-12-11,50,2023,12,DE05_29237315,1,0,4,1,0,0,0,1.0,1
2023-12-18,51,2023,12,DE05_29237315,0,0,4,1,2,0,0,0.0,1
2023-12-04,49,2023,12,DE06_29142961,1,0,4,0,0,0,0,1.0,1
2023-12-11,50,2023,12,DE06_29142961,1,0,4,1,1,0,0,1.0,1
2023-12-18,51,2023,12,DE06_29142961,1,0,4,1,1,0,0,1.0,1
2023-12-25,52,2023,12,DE06_29142961,1,1,4,1,1,0,0,1.0,1
2023-12-11,50,2023,12,DE06_29143103,2,0,4,0,1,0,0,1.4142135623730951,1
2023-12-18,51,2023,12,DE06_29143103,1,0,4,2,1,0,0,1.0,1
2023-12-25,52,2023,12,DE06_29143103,1,1,4,1,2,0,0,1.0,1
2023-12-04,49,2023,12,DE06_29143103,0,0,4,1,1,0,0,0.0,1
2023-12-18,51,2023,12,DE06_29143128,2,0,4,0,1,0,0,1.4142135623730951,1
2023-12-04,49,2023,12,DE06_29143128,1,0,4,2,1,0,0,1.0,1
2023-12-11,50,2023,12,DE06_29143128,1,0,4,1,3,0,0,1.0,1
2023-12-25,52,2023,12,DE06_29143128,0,1,4,1,1,0,0,0.0,1
2023-12-11,50,2023,12,DE06_40106043,3,0,4,0,0,0,0,1.7320508075688772,1
2023-12-18,51,2023,12,DE06_40106043,2,0,4,3,0,0,0,1.4142135623730951,1
2023-12-25,52,2023,12,DE06_40106043,2,1,4,2,0,0,0,1.4142135623730951,1
2023-12-04,49,2023,12,DE06_40106043,0,0,4,2,0,0,0,0.0,1
2023-12-18,51,2023,12,DE08_29143191,3,0,4,0,2,0,0,1.7320508075688772,1
2023-12-04,49,2023,12,DE08_29143191,1,0,4,3,1,0,0,1.0,1
2023-12-11,50,2023,12,DE08_29143191,1,0,4,1,0,0,0,1.0,1
2023-12-25,52,2023,12,DE08_29143191,1,1,4,1,0,0,0,1.0,1
