date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Previous Week Shipment,Previous Year Shipment,Moving Average Shipment,Encoded_Lane,shipment_standardized,shipment_transformed,Predicted_shipment
2023-11-20,47,2023,11,DE06_29142970,2,0,4,6,2,2,0,-0.10682954950304675,1.8627416997969521,2
2023-11-27,48,2023,11,DE06_29142970,5,0,4,2,3,3,0,1.1702133411080857,21.960679774997896,5
2023-12-04,49,2023,12,DE06_29142970,1,0,4,5,2,3,0,-0.5325105130400909,0.0,1
2023-12-11,50,2023,12,DE06_29142970,2,0,4,1,4,2,0,-0.10682954950304675,1.8627416997969521,2
2023-12-18,51,2023,12,DE06_29142970,3,0,4,2,5,2,0,0.3188514140339974,5.8353829072479595,3
2023-12-25,52,2023,12,DE06_29142970,2,1,4,3,3,2,0,-0.10682954950304675,1.8627416997969521,2
2023-11-20,47,2023,11,DE02_29143519,4,0,4,0,3,1,1,0.7445323775710415,12.4,4
2023-11-27,48,2023,11,DE02_29143519,2,0,4,4,3,1,1,-0.10682954950304675,1.8627416997969521,2
2023-11-06,45,2023,11,DE02_29143519,1,0,4,2,0,1,1,-0.5325105130400909,0.0,1
2023-11-13,46,2023,11,DE02_29143519,0,0,4,1,4,1,1,-0.9581914765771351,-0.4,0
2023-11-20,47,2023,11,DE02_29143656,3,0,4,0,2,2,1,0.3188514140339974,5.8353829072479595,3
2023-11-06,45,2023,11,DE02_29143656,2,0,4,3,1,2,1,-0.10682954950304675,1.8627416997969521,2
2023-11-13,46,2023,11,DE02_29143656,1,0,4,2,1,2,1,-0.5325105130400909,0.0,1
2023-11-27,48,2023,11,DE02_29143656,1,0,4,1,3,2,1,-0.5325105130400909,0.0,1
2023-11-13,46,2023,11,DE02_29191028,3,0,4,0,1,1,1,0.3188514140339974,5.8353829072479595,3
2023-11-06,45,2023,11,DE02_29191028,1,0,4,3,1,1,1,-0.5325105130400909,0.0,1
2023-11-20,47,2023,11,DE02_29191028,1,0,4,1,1,0,1,-0.5325105130400909,0.0,1
2023-11-27,48,2023,11,DE02_29191028,1,0,4,1,1,0,1,-0.5325105130400909,0.0,1
