iter	Passed	Remaining
415	1834	2575
416	1836	2566
417	1837	2558
418	1839	2550
419	1840	2542
420	1842	2533
421	1844	2526
422	1847	2519
423	1848	2511
424	1862	2520
425	1864	2511
426	1865	2503
427	1867	2495
428	1868	2487
429	1870	2479
430	1871	2471
431	1873	2463
432	1875	2455
433	1878	2450
434	1880	2442
435	1881	2434
436	1883	2426
437	1884	2418
438	1886	2410
439	1887	2402
440	1889	2395
441	1892	2388
442	1893	2380
443	1895	2373
444	1896	2365
445	1898	2357
446	1900	2350
447	1901	2342
448	1903	2335
449	1905	2329
450	1907	2321
451	1908	2314
452	1910	2306
453	1911	2299
454	1913	2291
455	1914	2284
456	1917	2278
457	1921	2273
458	1922	2266
459	1924	2258
460	1925	2251
461	1927	2244
462	1928	2237
463	1930	2229
464	1931	2222
465	1933	2215
466	1935	2209
467	1937	2202
468	1938	2194
469	1939	2187
470	1941	2180
471	1942	2173
472	1944	2166
473	1946	2160
474	1949	2154
475	1950	2147
476	1952	2140
477	1953	2133
478	1955	2126
479	1956	2119
480	1958	2112
481	1959	2105
482	1960	2098
483	1962	2092
484	1964	2086
485	1966	2079
486	1967	2072
487	1969	2066
488	1970	2059
489	1972	2053
490	1974	2046
491	1976	2040
492	1977	2034
493	1979	2027
494	1980	2020
495	1982	2014
496	1983	2007
497	1984	2000
498	1986	1994
499	1987	1987
500	1991	1983
501	1992	1976
502	1994	1970
503	1995	1963
504	1997	1957
505	1998	1951
506	2000	1944
507	2001	1938
508	2003	1932
509	2005	1926
510	2007	1920
511	2008	1914
512	2010	1908
513	2011	1902
514	2013	1896
515	2015	1890
516	2016	1883
517	2020	1880
518	2021	1873
519	2023	1867
520	2024	1861
521	2026	1855
522	2028	1850
523	2030	1844
524	2031	1838
525	2033	1832
526	2035	1826
527	2037	1821
528	2038	1815
529	2040	1809
530	2042	1803
531	2043	1798
532	2045	1792
533	2048	1787
534	2050	1781
535	2051	1776
536	2053	1770
537	2054	1764
538	2059	1761
539	2061	1756
540	2063	1750
541	2064	1744
542	2066	1739
543	2068	1733
544	2069	1728
545	2071	1722
546	2073	1716
547	2074	1711
548	2076	1705
549	2077	1699
550	2079	1694
551	2080	1688
552	2082	1683
553	2086	1679
554	2087	1673
555	2089	1668
556	2090	1662
557	2092	1657
558	2094	1652
559	2096	1646
560	2097	1641
561	2098	1635
562	2100	1630
563	2103	1625
564	2104	1620
565	2106	1615
566	2107	1609
567	2109	1604
568	2110	1598
569	2112	1593
570	2114	1588
571	2118	1584
572	2119	1579
573	2121	1574
574	2122	1568
575	2124	1563
576	2125	1558
577	2126	1552
578	2129	1548
579	2130	1542
580	2132	1537
581	2133	1532
582	2134	1526
583	2136	1521
584	2138	1517
585	2139	1511
586	2141	1506
587	2145	1502
588	2146	1497
589	2148	1492
590	2149	1487
591	2151	1482
592	2152	1477
593	2154	1472
594	2156	1468
595	2158	1463
596	2159	1457
597	2161	1452
598	2162	1447
599	2164	1442
600	2166	1438
601	2167	1433
602	2169	1428
603	2172	1424
604	2173	1419
605	2175	1414
606	2176	1409
607	2178	1404
608	2179	1399
609	2181	1394
610	2182	1389
611	2185	1385
612	2186	1380
613	2188	1375
614	2189	1370
615	2191	1365
616	2192	1361
617	2195	1357
618	2197	1352
619	2200	1348
620	2202	1344
621	2203	1339
622	2205	1334
623	2206	1329
624	2208	1324
625	2210	1320
626	2211	1315
627	2213	1311
628	2215	1307
629	2217	1302
630	2219	1297
631	2221	1293
632	2223	1288
633	2225	1284
634	2228	1280
635	2230	1276
636	2232	1272
637	2234	1268
638	2236	1263
639	2238	1258
640	2240	1254
641	2242	1250
642	2244	1245
643	2245	1241
644	2247	1236
645	2249	1232
646	2251	1228
647	2259	1227
648	2260	1222
649	2262	1218
650	2263	1213
651	2265	1209
652	2266	1204
653	2269	1200
654	2271	1196
655	2272	1191
656	2274	1187
657	2275	1182
658	2277	1178
659	2279	1174
660	2281	1170
661	2285	1167
662	2287	1162
663	2289	1158
664	2290	1153
665	2292	1149
666	2293	1145
667	2295	1140
668	2298	1137
669	2300	1132
670	2301	1128
671	2303	1124
672	2304	1119
673	2309	1116
674	2314	1114
675	2316	1110
676	2318	1105
677	2319	1101
678	2321	1097
679	2322	1093
680	2324	1088
681	2327	1085
682	2329	1080
683	2330	1076
684	2332	1072
685	2333	1068
686	2335	1063
687	2337	1059
688	2346	1059
689	2348	1055
690	2349	1050
691	2351	1046
692	2353	1042
693	2354	1038
694	2356	1034
695	2357	1029
696	2359	1025
697	2360	1021
698	2362	1017
699	2364	1013
700	2366	1009
701	2369	1005
702	2371	1001
703	2372	997
704	2374	993
705	2375	989
706	2376	985
707	2378	980
708	2379	976
709	2381	972
710	2383	968
711	2385	964
712	2386	960
713	2388	956
714	2389	952
715	2391	948
716	2394	945
717	2395	940
718	2399	937
719	2400	933
720	2402	929
721	2403	925
722	2404	921
723	2406	917
724	2408	913
725	2409	909
726	2412	905
727	2413	901
728	2415	897
729	2416	893
730	2418	889
731	2420	886
732	2421	882
733	2422	878
734	2424	874
735	2427	870
736	2428	866
737	2430	862
738	2432	858
739	2433	855
740	2435	851
741	2436	847
742	2438	843
743	2439	839
744	2441	835
745	2442	831
746	2444	827
747	2445	823
748	2447	820
749	2449	816
750	2451	812
751	2454	809
752	2455	805
753	2457	801
754	2458	797
755	2460	794
756	2462	790
757	2463	786
758	2465	782
759	2467	779
760	2468	775
761	2470	771
762	2471	767
763	2473	763
764	2474	760
765	2476	756
766	2478	752
767	2482	749
768	2483	746
769	2485	742
770	2486	738
771	2488	734
772	2490	731
773	2491	727
774	2493	723
775	2496	720
776	2498	717
777	2500	713
778	2501	709
779	2503	706
780	2505	702
781	2509	699
782	2511	696
783	2513	692
784	2515	688
785	2516	685
786	2518	681
787	2519	677
788	2521	674
789	2525	671
790	2527	667
791	2528	664
792	2530	660
793	2531	656
794	2534	653
795	2536	650
796	2539	646
797	2541	643
798	2542	639
799	2543	635
800	2545	632
801	2546	628
802	2548	625
803	2549	621
804	2551	617
805	2552	614
806	2554	610
807	2556	607
808	2557	603
809	2559	600
810	2561	597
811	2563	593
812	2564	589
813	2567	586
814	2569	583
815	2570	579
816	2572	576
817	2574	572
818	2575	569
819	2577	565
820	2578	562
821	2582	559
822	2584	555
823	2585	552
824	2587	548
825	2589	545
826	2591	542
827	2592	538
828	2595	535
829	2597	531
830	2598	528
831	2600	525
832	2602	521
833	2604	518
834	2606	515
835	2610	512
836	2613	508
837	2615	505
838	2616	502
839	2618	498
840	2620	495
841	2621	491
842	2624	488
843	2626	485
844	2627	482
845	2629	478
846	2630	475
847	2632	471
848	2633	468
849	2634	464
850	2637	461
851	2638	458
852	2640	454
853	2641	451
854	2642	448
855	2644	444
856	2651	442
857	2653	439
858	2654	435
859	2656	432
860	2657	429
861	2659	425
862	2660	422
863	2662	419
864	2663	415
865	2665	412
866	2667	409
867	2668	405
868	2670	402
869	2671	399
870	2673	395
871	2675	392
872	2676	389
873	2679	386
874	2681	383
875	2682	379
876	2684	376
877	2685	373
878	2686	369
879	2688	366
880	2689	363
881	2691	360
882	2693	356
883	2695	353
884	2696	350
885	2698	347
886	2699	343
887	2701	340
888	2704	337
889	2705	334
890	2707	331
891	2708	327
892	2710	324
893	2711	321
894	2713	318
895	2714	315
896	2716	311
897	2717	308
898	2719	305
899	2720	302
900	2722	299
901	2724	296
902	2726	292
903	2727	289
904	2729	286
905	2731	283
906	2732	280
907	2734	277
908	2737	274
909	2739	270
910	2740	267
911	2742	264
912	2744	261
913	2745	258
914	2747	255
915	2749	252
916	2750	248
917	2752	245
918	2753	242
919	2755	239
920	2756	236
921	2758	233
922	2760	230
923	2762	227
924	2763	224
925	2766	221
926	2768	218
927	2769	214
928	2771	211
929	2772	208
930	2774	205
931	2775	202
932	2777	199
933	2779	196
934	2782	193
935	2783	190
936	2785	187
937	2788	184
938	2789	181
939	2791	178
940	2792	175
941	2794	172
942	2795	168
943	2797	165
944	2798	162
945	2800	159
946	2802	156
947	2803	153
948	2805	150
949	2808	147
950	2809	144
951	2811	141
952	2812	138
953	2813	135
954	2815	132
955	2816	129
956	2818	126
957	2819	123
958	2822	120
959	2824	117
960	2825	114
961	2827	111
962	2828	108
963	2830	105
964	2831	102
965	2833	99
966	2834	96
967	2836	93
968	2838	90
969	2839	87
970	2841	84
971	2843	81
972	2845	78
973	2846	75
974	2848	73
975	2850	70
976	2852	67
977	2853	64
978	2855	61
979	2856	58
980	2858	55
981	2859	52
982	2861	49
983	2862	46
984	2864	43
985	2865	40
986	2867	37
987	2869	34
988	2871	31
989	2873	29
990	2874	26
991	2876	23
992	2877	20
993	2880	17
994	2881	14
995	2883	11
996	2884	8
997	2886	5
998	2888	2
999	2889	0
