iter	RMSE
236	0.4287840151
237	0.4286976409
238	0.4285807341
239	0.4285696211
240	0.428525541
241	0.4284197913
242	0.4283220356
243	0.4282175694
244	0.4279892285
245	0.427900211
246	0.4277204275
247	0.4276420761
248	0.4274307392
249	0.427411419
250	0.4273894298
251	0.4273683588
252	0.4272346428
253	0.4270345744
254	0.4268997606
255	0.4268608334
256	0.4266794152
257	0.4266112047
258	0.4264784321
259	0.4263932232
260	0.4263836638
261	0.4263073146
262	0.4262059769
263	0.4261987153
264	0.4261734481
265	0.4261693497
266	0.4260846882
267	0.4260470433
268	0.4259584255
269	0.4259382912
270	0.4259296133
271	0.4258520742
272	0.42584859
273	0.4257116486
274	0.4255958643
275	0.4254631785
276	0.4254548228
277	0.4252616042
278	0.4250756973
279	0.4249914663
280	0.4249079902
281	0.4247330147
282	0.4246540043
283	0.4245758993
284	0.4245724236
285	0.424411129
286	0.4243219072
287	0.4242725892
288	0.4241976622
289	0.4241368193
290	0.4240676413
291	0.4238614274
292	0.4238028386
293	0.4237230324
294	0.4236369376
295	0.4235840488
296	0.4234596429
297	0.423379232
298	0.4232995369
299	0.4232152016
300	0.4232080515
301	0.4232008659
302	0.4230055531
303	0.4228853729
304	0.42282529
305	0.4227409388
306	0.42267371
307	0.4225525167
308	0.4225006609
309	0.4224176934
310	0.4223058546
311	0.422299377
312	0.4221252509
313	0.4221113545
314	0.4220386533
315	0.4219881366
316	0.4219134951
317	0.4218042196
318	0.4216292112
319	0.4215120963
320	0.4214554208
321	0.4213429979
322	0.4212103679
323	0.4211014007
324	0.4210281906
325	0.4210222386
326	0.4209142178
327	0.420911716
328	0.4207532865
329	0.4206608758
330	0.4205543251
331	0.4204548471
332	0.4204503922
333	0.420284841
334	0.4202793994
335	0.4202046417
336	0.4202020981
337	0.4201999288
338	0.4200287354
339	0.4199001864
340	0.4197555918
341	0.4196820636
342	0.419557454
343	0.4194668677
344	0.4193834578
345	0.4193392821
346	0.4192284866
347	0.4191060113
348	0.4189663088
349	0.4188328794
350	0.4187282621
351	0.4186145478
352	0.4185426065
353	0.4184330681
354	0.4183462386
355	0.4182112652
356	0.4181104666
357	0.418012893
358	0.4178837717
359	0.4178034933
360	0.417701667
361	0.4175842382
362	0.4174722556
363	0.4173209821
364	0.4172112744
365	0.4170968009
366	0.4169980225
367	0.4169117722
368	0.4167476242
369	0.4166884702
370	0.4166713483
371	0.4165823171
372	0.4164534576
373	0.4164319228
374	0.4162860219
375	0.4162039308
376	0.4162019224
377	0.416171096
378	0.4161599095
379	0.4161096236
380	0.4159875827
381	0.4159127616
382	0.4159114596
383	0.4158490246
384	0.415838406
385	0.4157254135
386	0.4157213213
387	0.4157172307
388	0.4156634059
389	0.4156592101
390	0.4155096237
391	0.4154533085
392	0.4154515672
393	0.4153123919
394	0.4151901613
395	0.4151183589
396	0.4151113552
397	0.4149772443
398	0.4149085298
399	0.4148444279
400	0.4147698852
401	0.414737099
402	0.4146861051
403	0.4146099434
404	0.4145286504
405	0.4144707723
406	0.414307036
407	0.4141662135
408	0.4141059336
409	0.4140145253
410	0.4139761699
411	0.4138367235
412	0.4137241511
413	0.4136400872
414	0.4135247685
415	0.4134460304
416	0.41339926
417	0.4133250952
418	0.413182409
419	0.4131764265
420	0.4131429901
421	0.4130148244
422	0.4129585781
423	0.4128463379
424	0.4127264715
425	0.4126543665
426	0.4126023047
427	0.4125168838
428	0.4124095023
429	0.4123153687
430	0.4122577582
431	0.4121787648
432	0.4121164619
433	0.4119833807
434	0.4118909476
435	0.4118840879
436	0.411814502
437	0.4116966932
438	0.4115230449
439	0.4114392941
440	0.411367596
441	0.4112271211
442	0.4111761266
443	0.4111094279
444	0.4110093141
445	0.4109619903
446	0.4108766731
447	0.4107182321
448	0.4105967
449	0.4104609139
450	0.4104134821
451	0.410343427
452	0.4102436717
453	0.4101151481
454	0.4099981628
455	0.409936688
456	0.4099028337
457	0.4098774515
458	0.4097234128
459	0.4096526637
460	0.4095517811
461	0.409444964
462	0.4093579575
463	0.4092826065
464	0.4091704211
465	0.4091104619
466	0.4090067179
467	0.4089296054
468	0.4087931106
469	0.4087695931
470	0.4086513572
471	0.4085720417
472	0.4085530583
473	0.4085400888
474	0.4084310788
475	0.408402864
476	0.4083508446
477	0.4083104591
478	0.4082997779
479	0.4081919726
480	0.4080597411
481	0.4080110768
482	0.4079986992
483	0.4078805754
484	0.4078301536
485	0.4076904776
486	0.4075611887
487	0.4074993426
488	0.4074212171
489	0.4073635105
490	0.4072745923
491	0.4071486149
492	0.4070302768
493	0.4069429528
494	0.4068530793
495	0.4068157627
496	0.4068143525
497	0.4068112183
498	0.4067906676
499	0.4067138579
500	0.4067061941
501	0.4066751383
502	0.4066670786
503	0.406630689
504	0.4065669343
505	0.4064968961
506	0.4064286412
507	0.4063506746
508	0.4062894656
509	0.4062168025
510	0.4061322154
511	0.406043338
512	0.4059220439
513	0.4057594628
514	0.4056420533
515	0.4055919787
516	0.4055612199
517	0.405443168
518	0.4053738198
519	0.4052763239
520	0.4052029093
521	0.40515087
522	0.4050540709
523	0.40505267
524	0.4049708315
525	0.404964451
526	0.4049090791
527	0.4048312585
528	0.404743301
529	0.4046458131
530	0.4045718671
531	0.4044966062
532	0.4043963968
533	0.4043284079
534	0.4043198495
535	0.4042281882
536	0.4041450211
537	0.4040467175
538	0.4039685883
539	0.4039141474
540	0.4038782427
541	0.4038062879
542	0.4037034842
543	0.4036616822
544	0.4035847048
545	0.4034704927
546	0.4033993822
547	0.4033220341
548	0.4032751337
549	0.4031586549
550	0.4030878209
551	0.4030303712
552	0.4029936487
553	0.4028517942
554	0.4027172301
555	0.4027139132
556	0.4025985262
557	0.4025324669
558	0.4025053462
559	0.4024727888
560	0.402458634
561	0.4023749969
562	0.4023211081
563	0.40220896
564	0.4021369814
565	0.4020938105
566	0.4020356568
567	0.4019382305
568	0.4018998531
569	0.4017520333
570	0.4017071942
571	0.401657731
572	0.4015762802
573	0.4014902564
574	0.4014215238
575	0.4013553354
576	0.4013520674
577	0.4013062295
578	0.4012659127
579	0.4012604052
580	0.4011715068
581	0.4011707465
582	0.4011695098
583	0.4011279886
584	0.4010621485
585	0.4009252025
586	0.4008710967
587	0.4008449661
588	0.400806938
589	0.4007273331
590	0.4006336519
591	0.4005302199
592	0.4004141748
593	0.400297609
594	0.4002160149
595	0.4001742075
596	0.4001516615
597	0.4000479987
598	0.3999956683
599	0.3999366597
600	0.3998473371
601	0.3997668052
602	0.399735524
603	0.3996770947
604	0.3995900298
605	0.3995018934
606	0.3994772413
607	0.3994733483
608	0.3993874894
609	0.3993497714
610	0.3992758912
611	0.3992446462
612	0.3991633731
613	0.3990743339
614	0.3989879647
615	0.398944748
616	0.3988091359
617	0.398744191
618	0.398651118
619	0.3986135352
620	0.3985590098
621	0.3985425121
622	0.3985071251
623	0.3983977929
624	0.3983918261
625	0.3983383548
626	0.3982597347
627	0.3981314898
628	0.3981234525
629	0.3980192274
630	0.3979867237
631	0.3978839668
632	0.3978286978
633	0.3977540715
634	0.3976793826
635	0.3976102421
636	0.3975756132
637	0.3975260346
638	0.397475113
639	0.3974572885
640	0.3974213879
641	0.3973699713
642	0.3972451591
643	0.3972434778
644	0.3972310301
645	0.3971515686
646	0.3971199302
647	0.3970772339
648	0.3969754199
649	0.3968723488
650	0.3968476227
651	0.3968016179
652	0.3967558606
653	0.3966357036
654	0.3965136791
655	0.3964528573
656	0.3963881428
657	0.3963006835
658	0.3962176415
659	0.3961348185
660	0.3960544156
661	0.3959556695
662	0.3958766073
663	0.3958121065
664	0.3957797
665	0.3957393157
666	0.3956876175
667	0.3956836172
668	0.3955952785
669	0.3955223305
670	0.3955021585
671	0.3954746084
672	0.3954266588
673	0.3953171565
674	0.3952484004
675	0.395179472
676	0.395081818
677	0.394998361
678	0.394901649
679	0.3948217456
680	0.3947215489
681	0.3947041307
682	0.3946838834
683	0.3946101229
684	0.3945443491
685	0.394477597
686	0.3944103262
687	0.394348986
688	0.394253301
689	0.3942029556
690	0.3941141354
691	0.3940359217
692	0.3940330484
693	0.3939848698
694	0.3939021865
695	0.3938663189
696	0.3938220581
697	0.3937894505
698	0.3936419427
699	0.3936284958
700	0.3935421568
701	0.3934609134
702	0.3933914853
703	0.3933509289
704	0.3932856492
705	0.3932053879
706	0.3932048012
707	0.3931149802
708	0.3930814899
709	0.393067904
710	0.3930665201
711	0.3930269753
712	0.3929189106
713	0.3928414163
714	0.3928196247
715	0.3928156122
716	0.3927672599
717	0.3926948787
718	0.392662135
719	0.3926064044
720	0.3925891291
721	0.3924893697
722	0.392476848
723	0.3923512207
724	0.3922767727
725	0.3922332292
726	0.3921597254
727	0.3920722361
728	0.3920680369
729	0.3920488762
730	0.3919843098
731	0.3919470701
732	0.3919306462
733	0.3919292474
734	0.3919008671
735	0.3918686921
736	0.3918092422
737	0.3917565998
738	0.3917107965
739	0.3916656991
740	0.3916009622
741	0.3915417455
742	0.3914928917
743	0.39147084
744	0.3913688017
745	0.3913352314
746	0.3912732675
747	0.3911984233
748	0.3911517053
749	0.3911504451
750	0.3910769093
751	0.3910202201
752	0.3909832006
753	0.390919585
754	0.3908770702
755	0.3907967156
756	0.3907960163
757	0.3907178456
758	0.3906482904
759	0.3906269674
760	0.3905513149
761	0.390528594
762	0.3904771658
763	0.3904497624
764	0.3903997619
765	0.3903535023
766	0.3903180259
767	0.3902416388
768	0.3901846237
769	0.3901293049
770	0.3901256321
771	0.3900567859
772	0.3900173613
773	0.3900153525
774	0.3899578784
775	0.3898857504
776	0.3898263607
777	0.3897765387
778	0.3896995119
779	0.3896582512
780	0.3895955514
781	0.3895109378
782	0.3894575947
783	0.3894024916
784	0.3893356235
785	0.3892589297
786	0.389212942
787	0.3891820322
788	0.3891379936
789	0.3890709789
790	0.3890636423
791	0.3890228714
792	0.3889789748
793	0.388910434
794	0.3889096459
795	0.3888608884
796	0.3887841802
797	0.3887225531
798	0.3886993748
799	0.3886771603
800	0.3886217641
801	0.3885647499
802	0.3885485682
803	0.3885213254
804	0.3884891083
805	0.3884002005
806	0.3883224137
807	0.3882254731
808	0.3881631417
809	0.3881277099
810	0.3880912925
811	0.3880516949
812	0.388013988
813	0.3879377668
814	0.3878767765
815	0.3878035306
816	0.3877048199
817	0.3876693101
818	0.3876684538
819	0.3875980896
820	0.3875859186
821	0.3875349621
822	0.3874415809
823	0.3873944638
824	0.3873056207
825	0.3872366027
826	0.3872105543
827	0.3871895249
828	0.3871410175
829	0.3871194861
830	0.3870334059
831	0.3869799534
832	0.3869385334
833	0.3868814866
834	0.3868185743
835	0.3868178191
836	0.3867212121
837	0.3866644096
838	0.3866315977
839	0.3865684683
840	0.3865071286
841	0.3864411774
842	0.3863840262
843	0.3863707558
844	0.3863285427
845	0.3862711417
846	0.3862445006
847	0.3861702117
848	0.3861241255
849	0.386118073
850	0.3860393339
851	0.3859751749
852	0.3859680506
853	0.3859370939
854	0.3858821182
855	0.3858804432
856	0.3858539486
857	0.3857632436
858	0.385718946
859	0.3856453939
860	0.385601181
861	0.3855398334
862	0.3854964301
863	0.385490817
864	0.3854653029
865	0.3854120408
866	0.3854089172
867	0.3853664955
868	0.3852579711
869	0.385245174
870	0.3852126667
871	0.3851661487
872	0.3851478068
873	0.3851113021
874	0.385052073
875	0.3850209431
876	0.3850100316
877	0.3849881122
878	0.3849654845
879	0.3849559796
880	0.3848768773
881	0.3847849976
882	0.384708769
883	0.3846686041
884	0.38459057
885	0.384514479
886	0.3844964156
887	0.3844577999
888	0.3844222087
889	0.3843813048
890	0.3843384947
891	0.3842673954
892	0.3842388297
893	0.3841604641
894	0.3841168749
895	0.3840629107
896	0.3840168613
897	0.3839670579
898	0.3839160045
899	0.3838875658
900	0.3838796208
901	0.3838265447
902	0.3837350966
903	0.3837052541
904	0.3835586024
905	0.3835386516
906	0.3835172873
907	0.3834664057
908	0.3834018657
909	0.3833755999
910	0.3833262216
911	0.3833063906
912	0.3833008036
913	0.3832301654
914	0.3832115794
915	0.3832027023
916	0.383189714
917	0.3831424709
918	0.3831393837
919	0.3831271662
920	0.38310356
921	0.3830269373
922	0.3830075555
923	0.3829620292
924	0.3829111881
925	0.3828165343
926	0.3827809392
927	0.3827089647
928	0.3826836309
929	0.3826318573
930	0.3825633146
931	0.3825116643
932	0.3824735262
933	0.3823897034
934	0.38228889
935	0.3822099004
936	0.3821869301
937	0.3821665842
938	0.3821395132
939	0.3820779223
940	0.3820022704
941	0.382000448
942	0.3819917689
943	0.3818778946
944	0.3818756572
945	0.3818402065
946	0.3818149684
947	0.3817579306
948	0.3817449048
949	0.3817178291
950	0.3817047372
951	0.3816229195
952	0.3815646263
953	0.3815615726
954	0.3815331211
955	0.3815288371
956	0.3815259636
957	0.3814725896
958	0.3814541085
959	0.3814038903
960	0.3813508898
961	0.381313817
962	0.3812870546
963	0.3812268783
964	0.3812245561
965	0.3812192431
966	0.3812036563
967	0.3811575239
968	0.3811156917
969	0.3810494187
970	0.3810403505
971	0.3809929366
972	0.3809915494
973	0.3809003219
974	0.38089509
975	0.3808735513
976	0.3808472971
977	0.3808305997
978	0.380781763
979	0.3807659704
980	0.3806666354
981	0.380604936
982	0.380601899
983	0.3806012076
984	0.380509934
985	0.3804682679
986	0.3804151039
987	0.3803262712
988	0.3803198977
989	0.3802914264
990	0.3802442878
991	0.3802067659
992	0.3801358751
993	0.3800866149
994	0.3800330376
995	0.3799945583
996	0.3799786496
997	0.3799325229
998	0.3798495026
999	0.3798102288
